"Abrangência";"Partido";"Sexo";"Faixa Etária";"Eleitores";"%";
"Brasil";"PCO";"FEMININO";"16 anos";"1";"0,000"
"Brasil";"PCO";"FEMININO";"18 a 20 anos";"29";"0,000"
"Brasil";"PCO";"FEMININO";"21 a 24 anos";"26";"0,000"
"Brasil";"PCO";"FEMININO";"25 a 34 anos";"161";"0,001"
"Brasil";"PCO";"FEMININO";"35 a 44 anos";"396";"0,002"
"Brasil";"PCO";"FEMININO";"45 a 59 anos";"507";"0,003"
"Brasil";"PCO";"FEMININO";"60 a 69 anos";"231";"0,001"
"Brasil";"PCO";"FEMININO";"70 a 79 anos";"83";"0,000"
"Brasil";"PCO";"FEMININO";"Superior a 79 anos";"37";"0,000"
"Brasil";"PCO";"MASCULINO";"16 anos";"1";"0,000"
"Brasil";"PCO";"MASCULINO";"17 anos";"4";"0,000"
"Brasil";"PCO";"MASCULINO";"18 a 20 anos";"46";"0,000"
"Brasil";"PCO";"MASCULINO";"21 a 24 anos";"78";"0,000"
"Brasil";"PCO";"MASCULINO";"25 a 34 anos";"319";"0,002"
"Brasil";"PCO";"MASCULINO";"35 a 44 anos";"655";"0,004"
"Brasil";"PCO";"MASCULINO";"45 a 59 anos";"757";"0,005"
"Brasil";"PCO";"MASCULINO";"60 a 69 anos";"287";"0,002"
"Brasil";"PCO";"MASCULINO";"70 a 79 anos";"88";"0,001"
"Brasil";"PCO";"MASCULINO";"Superior a 79 anos";"30";"0,000"
"Brasil";"PCO";"NÃO INFORMADO";"45 a 59 anos";"1";"0,000"
"Brasil";"PCO";"NÃO INFORMADO";"60 a 69 anos";"1";"0,000"
"Brasil";"PDT";"FEMININO";"16 anos";"7";"0,000"
"Brasil";"PDT";"FEMININO";"17 anos";"47";"0,000"
"Brasil";"PDT";"FEMININO";"18 a 20 anos";"1.288";"0,008"
"Brasil";"PDT";"FEMININO";"21 a 24 anos";"6.148";"0,037"
"Brasil";"PDT";"FEMININO";"25 a 34 anos";"51.961";"0,309"
