"UF";"Partido";"Número do candidato";"Nome do candidato";"Nome do candidato (urna)";"Cargo";"Situação da candidatura";"Detalhe situação candidatura";"Data eleição";
"AC";"PSB";"4040";"CARLOS CÉSAR CORREIA DE MESSIAS";"CÉSAR MESSIAS";"Deputado Federal";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PTB";"14014";"CARLOS COSTA VALE";"CARLOS VALE";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"REDE";"1818";"CARLOS GOMES DA COSTA SOUZA";"CARLOS GOMES";"Deputado Federal";"Apto";"Deferido";"7.10.2018"
"AC";"PHS";"31000";"CARLOS KILSON MAIA RIBEIRO";"KILSON RIBERIO";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PSL";"17333";"CARLOS LEANDRO DA COSTA SOUSA";"CARLOS LEANDRO";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"MDB";"15191";"CEZAR HENRIQUE RODRIGUES DE OLIVEIRA";"INSPETOR CEZAR HENRIQUE";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"AVANTE";"7070";"CEZAR HILDO PEREIRA";"PROFESSOR CEZAR HILDO";"Deputado Federal";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PTB";"1414";"CHARLENE MARIA DE LIMA";"CHARLENE LIMA";"Deputado Federal";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"REDE";"18012";"CLAUDILENE XIMENES DA CUNHA";"CLAUDILENE";"Deputado Estadual";"Apto";"Deferido";"7.10.2018"
"AC";"PSOL";"50123";"CLAUDIO EZEQUIEL PASSAMANI";"CLAUDIO EZEQUIEL";"Deputado Estadual";"Apto";"Deferido";"7.10.2018"
"AC";"PSD";"55234";"CLEICIANE FREITAS DA SILVA";"PROF CLEICE FREITAS";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PDT";"1277";"CLEIDE MARIA FERREIRA DE ARAUJO";"CLEIDE ARAÚJO DA SAÚDE";"Deputado Federal";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"MDB";"15258";"CLEIDISON DE JESUS ROCHA";"CLEIDSON ROCHA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PSD";"55555";"CLEONICE BEZERRA DE MENEZES";"KEKEL TODDYNHO";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PP";"11100";"CLEVERTON MONTE DO NASCIMENTO";"KEKO MONTE";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PRP";"44600";"COSME DE SOUZA LEITE";"COSME LEITE";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PDT";"1255";"CRISTOVAM PONTES DE MOURA";"CRISTOVAM MOURA";"Deputado Federal";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PSDB";"4545";"CYLMARA FERNANDES DA ROCHA GRIPP";"MARA ROCHA";"Deputado Federal";"Apto";"Deferido";"7.10.2018"
"AC";"PTB";"14145";"DACI SILVA DA GAMA";"LORA VENDEDORA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PRP";"44300";"DAITON DOS SANTOS MANGABEIRA";"DAITON MANGABEIRA";"Deputado Estadual";"Apto";"Deferido";"7.10.2018"
"AC";"PT";"13123";"DANIEL QUEIROZ DE SANT ANA";"DANIEL ZEN";"Deputado Estadual";"Apto";"Deferido";"7.10.2018"
"AC";"PSL";"1712";"DANIELA PAIVA DE OLIVEIRA";"DANIELA PAIVA";"Deputado Federal";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PRP";"44678";"DANIELE PINHEIRO DANIEL";"DANIELE PINHEIRO";"Deputado Estadual";"Apto";"Deferido";"7.10.2018"
"AC";"AVANTE";"7018";"DANILO DE MELO MEDEIROS";"DANILO MEDEIROS";"Deputado Federal";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PRTB";"28111";"DANILO OLIVEIRA DINIZ";"DANILO DINIZ";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"DC";"27122";"DANILVA LIMA DA CUNHA";"DANILVA LIMA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PT";"1300";"DARLA CRISTINA PENHA ALMEIDA DE OLIVEIRA";"DARLA";"Deputado Federal";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PDT";"1223";"DARLENE SILVA DE SOUZA";"DARLENE SILVA";"Deputado Federal";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PROS";"90190";"DAVI TEIXEIRA";"DAVI DO PAO CASEIRO";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"AVANTE";"70";"DAVID SOARES HALL";"DAVID HALL";"Governador";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PMN";"33456";"DAVID SOUZA CORREIA";"NETO CORREIA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PSB";"40555";"DAVILENE ANAISSI MENEZES";"DAVILENE ANAISSI";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PRB";"10248";"DAYANE DOS SANTOS ANDRADE";"DAYANE SANTOS";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PP";"11190";"DEINIFRANCE DOURADO FRANÇA";"SARGENTO DEINIFRANCE";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PDT";"12018";"DENER HIGOR PADILHA GOES";"DR. DENER PADILHA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PSB";"40069";"DENIS DA COSTA PASSOS";"DENIS RIBEIRO";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PDT";"12321";"DENISE DIAS DA SILVA GOMES";"DENISE DIAS PRETINHA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PSB";"40190";"DEODATO NUNES DE FRANÇA";"CEL. DEODATO";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"DC";"27333";"DEUZIMAR RODRIGUES DE MENDONÇA";"DEUZIMAR MENDONÇA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"DC";"27385";"DHUNA GUILHERMINA DA SILVA";"DHUNA SILVA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PATRI";"51123";"DILCÉLIO NOGUEIRA DA SILVA";"CÉLIO NOGUEIRA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PDT";"1220";"DINEIA ANDRADE PINHEIRO";"DINEIA PINHEIRO";"Deputado Federal";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PTC";"36123";"DJANAIRA RODRIGUES DA COSTA";"DJA  RODRIGUES";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PDT";"1233";"EBER SILVA MACHADO";"EBER MACHADO";"Deputado Federal";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PSL";"17666";"EDCLEO ARAUJO DE OLIVEIRA";"ED(KELL)";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PRP";"44800";"EDEMILDES DA SILVA PAULINO";"EDEMILDES PAULINO";"Deputado Estadual";"Apto";"Deferido";"7.10.2018"
"AC";"PDT";"12111";"EDER DE SOUZA VIANA";"EDER VIANA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"DC";"27878";"EDIGLEY DE SOUSA ROSENDO";"EDI CELULAR";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"DC";"27777";"EDINALDO FERNANDES DE SOUZA";"PR. NALDO";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"MDB";"15133";"EDITH MONTES DO NASCIMENTO DE QUEIROIS";"EDITH";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PMB";"35100";"EDIVALDO DE FREITAS PAES";"EDIVALDO  SERINGUEIRO";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PRB";"10789";"EDSON ASSIS DE ARAUJO";"EDSON ARAUJO";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PHS";"31007";"EDSON CAVALCANTE DA SILVA";"EDSON SILVA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PR";"151";"EDUARDO OVÍDIO BORGES DE VELLOSO VIANNA";"EDUARDO VELLOSO";"Senador 1º Suplente";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"SOLIDARIEDADE";"77123";"EDVALDO ALMEIDA DE OLIVEIRA";"NENEM ALMEIDA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PC do B";"65123";"EDVALDO SOARES DE MAGALHÃES";"EDVALDO MAGALHÃES";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PROS";"90123";"EDVANIO DA SILVA BARBOSA";"EDVANIO CADEIRANTE";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PSC";"20111";"ELCIDA MARIA VASCONCELOS";"ELCIDA VASCONCELO";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"AVANTE";"7001";"ELDO PONTES HALL";"ELDO PONTES";"Deputado Federal";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"MDB";"15555";"ELIANE PEREIRA SINHASIQUE";"ELIANE SINHASIQUE";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PT";"13369";"ELINEIDE MEIRELES MEDEIROS";"ELINEIDE MERELES";"Deputado Estadual";"Apto";"Deferido";"7.10.2018"
"AC";"PP";"11333";"ELISEU SOARES MOREIRA";"PASTOR ELISEU MOREIRA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PRP";"44555";"ELISON DENIS AZEVEDO DA SILVA";"ELISON AZEVEDO";"Deputado Estadual";"Apto";"Deferido";"7.10.2018"
"AC";"PRP";"44123";"ELY ALVES VIEIRA";"VELHO";"Deputado Estadual";"Apto";"Deferido";"7.10.2018"
"AC";"PSDB";"45122";"EMERSON AMORIM DE FREITAS";"EMERSON AMORIM";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"MDB";"15999";"EMERSON LEÃO PEREIRA DA SILVA";"EMERSON LEÃO";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PSB";"40150";"EMILDISON DOS SANTOS DANIEL";"DANIEL";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PMN";"3333";"EMILIO VIRGILIO LIMA DE OLIVEIRA";"TEN. CORONEL EMILIO";"Deputado Federal";"Apto";"Deferido";"7.10.2018"
"AC";"PDT";"13";"EMYLSON FARIAS DA SILVA";"EMYLSON FARIAS";"Vice-governador";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PRTB";"28178";"ENOQUE DE FRANÇA LIMA";"PROFESSOR ENOQUE FRANÇA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PTB";"14400";"ENOQUE PEREIRA DE LIMA";"ENOQUE PEREIRA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"MDB";"15100";"ESPERIDIÃO MENEZES JUNIOR";"ESPERIDIÃO JUNIOR";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"MDB";"1593";"EUDEMIR GOMES BEZERRA";"CORONEL EUDEMIR";"Deputado Federal";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PDT";"1200";"EURICO CARVALHO CORDEIRO";"EURICO CORDEIRO";"Deputado Federal";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"DC";"27800";"EVA DO CARMO MATOS DA SILVA";"EVA SILVA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PSB";"40777";"EZEQUIEL ALVES DE ARAÚJO";"EZEQUIEL";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PTB";"14233";"FABIANO DE OLIVEIRA SILVA";"FABIANO OLIVEIRA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PSDB";"45321";"FABIO ALEXANDRE MARCHESI SOLER";"DR. FABIO SOLER";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PTB";"14000";"FABIO HENRIQUE DOS SANTOS PEVIANI";"PEVIANI";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PV";"43777";"FAGNER CALEGÁRIO DO NASCIMENTO";"FAGNER CALEGÁRIO";"Deputado Estadual";"Apto";"Deferido";"7.10.2018"
"AC";"PSB";"40700";"FAÍMA JINKINS GOMES";"PROFª FAÍMA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"DEM";"25222";"FELIPE CARDOSO MARTINS LIMA";"PROF. FELIPE";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PSDB";"45001";"FELIPE HENRIQUE DO NASCIMENTO BASTOS";"FELIPE MENDES";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"DC";"2713";"FELIPE RIBEIRO DA SILVA LIMA";"FELIPE MESSIAS";"Deputado Federal";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PROS";"9090";"FERNANDO MELO DA COSTA";"FERNANDO MELO";"Deputado Federal";"Apto";"Deferido";"7.10.2018"
"AC";"MDB";"1555";"FLAVIANO FLAVIO BAPTISTA DE MELO";"FLAVIANO MELO";"Deputado Federal";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PT";"13226";"FRANCIMAR FERNANDES DE ALBUQUERQUE";"FRANCIMAR FERNANDES";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PTC";"36444";"FRANCINEIDE DA COSTA SANTOS";"MISSIONARIA ROSA SANTOS";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PSDB";"45123";"FRANCINEUDO SOUZA DA COSTA";"FRANCINEUDO COSTA";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PDT";"12122";"FRANCISCA DO NASCIMENTO DE ARAUJO SOUSA";"FRAN ARAUJO";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
"AC";"PRB";"10810";"FRANCISCA MARQUES RIBEIRO APURINÃ";"FRANCISCA MARQUES";"Deputado Estadual";"Apto";"Deferido";"7.10.2018"
"AC";"PSC";"20555";"FRANCISCO ALBINO DE OLIVEIRA RODRIGUES";"ALBINO DA SAÚDE";"Deputado Estadual";"Cadastrado";"Aguardando julgamento";"7.10.2018"
